1, 0 1;
2, 1 0 0 0;
3, 1 0 1 0;
4, 1 0 0;
5, 0;
6, 0 0 1 0;
7, 1 1 0;
8, 0 0 0 0;
9, 0 0;
10, 0 1 1 1;
11, 1 0 1;
12, 0 1 0 0;
13, 1 1;
14, 1 0;
15, 1 1 1;
16, 0 1 1 0;
17, 1 1 0 1;
18, 0 1 0;
19, 0 0 0;
20, 1;
21, 0 0 1;
22, 0 0 0 1;
23, 0 1 1;
24, 1 0 0 1;
25, 1 0 1 1;
26, 1 1 0 0;
27, 1 1 1 1 1;
28, 0 1 1 1 1;
29, 0 0 1 1 1;
30, 0 0 0 1 1;
31, 0 0 0 0 1;
32, 0 0 0 0 0;
33, 1 0 0 0 0;
34, 1 1 0 0 0;
35, 1 1 1 0 0;
36, 1 1 1 1 0;
37, 2;
38, 0 1 0 1 0 1;
39, 0 1 1 1 1 0;
